2018-10-11 15:50:42.146[1539240642146] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640083 side:SELL quantity:0.007106 signature:043a55ae02b3e49a180c0c983da86dbadb386bec885ac19425bbedaf4b832975 price:0.2170 type:LIMIT timeInForce:GTC recvWindow:30 timestamp:1539240641867     [ACCT]: 2|3    [RESP]: 1/10000  proc:255.329101ms  proxy:-9999ms  session:-255ms  httpStatus:400 {"code":-1013,"msg":"QTY is under the symbol's minimum QTY."}
2018-10-11 15:50:42.203[1539240642203] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: S6z34WOGntbAoVmnLHZljf -> [cId=WCZhHvnjqz_r1-1]
2018-10-11 15:50:42.203[1539240642203] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-1]
2018-10-11 15:50:42.203[1539240642203] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-1] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.204[1539240642204] | DEBUG | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-1] SENT
2018-10-11 15:50:42.204[1539240642204] | TRACE | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.212[1539240642212] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-1]
2018-10-11 15:50:42.212[1539240642212] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-1]
2018-10-11 15:50:42.214[1539240642214] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.214[1539240642214] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.214[1539240642214] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.224[1539240642224] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:S6z34WOGntbAoVmnLHZljf open:2018-10-11 15:50:42.203 JST afterLimiter:0ms afterRespRecv:15ms
2018-10-11 15:50:42.226[1539240642226] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640083 side:SELL quantity:0.335024 signature:9f2fc980068682d6993b4be05758ba29a1b6c8259a52aa001928567714a31fc4 price:0.6688 type:LIMIT timeInForce:GTC recvWindow:22 timestamp:1539240642178     [ACCT]: 2|3    [RESP]: 2/10000  proc:34.381496ms  proxy:-9999ms  session:-34ms  httpStatus:200 gzip {"symbol":"1539240640083","orderId":0,"clientOrderId":"S6z34WOGntbAoVmnLHZljf","transactTime":1539240642203,"price":"0.6688","origQty":"0.335024","executedQty":"0.000000","cummulativeQuoteQty":"0.0000","status":"NEW","timeInForce":"GTC","type":"LIMIT","side":"SELL","fills":[]}
2018-10-11 15:50:42.283[1539240642283] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: cAqUxth5fpjFnQw4WqtRNF -> [cId=WCZhHvnjqz_r1-2]
2018-10-11 15:50:42.284[1539240642284] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-2]
2018-10-11 15:50:42.284[1539240642284] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-2] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.284[1539240642284] | DEBUG | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-2] SENT
2018-10-11 15:50:42.284[1539240642284] | TRACE | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.298[1539240642298] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-2]
2018-10-11 15:50:42.298[1539240642298] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-2]
2018-10-11 15:50:42.298[1539240642298] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.299[1539240642299] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.299[1539240642299] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:cAqUxth5fpjFnQw4WqtRNF open:2018-10-11 15:50:42.283 JST afterLimiter:0ms afterRespRecv:16ms
2018-10-11 15:50:42.299[1539240642299] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.299[1539240642299] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640083 side:SELL quantity:0.923619 signature:9435825423addab977f828de15567d79d12c7b8ba7dd3f5f5866e7d28e43f583 price:0.4051 type:LIMIT timeInForce:GTC recvWindow:40 timestamp:1539240642254     [ACCT]: 2|3    [RESP]: 3/10000  proc:19.099207ms  proxy:-9999ms  session:-19ms  httpStatus:200 gzip {"symbol":"1539240640083","orderId":1,"clientOrderId":"cAqUxth5fpjFnQw4WqtRNF","transactTime":1539240642284,"price":"0.4051","origQty":"0.923619","executedQty":"0.000000","cummulativeQuoteQty":"0.0000","status":"NEW","timeInForce":"GTC","type":"LIMIT","side":"SELL","fills":[]}
2018-10-11 15:50:42.372[1539240642372] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: qcrWrKMl50q6riDDdbQYPr -> [cId=WCZhHvnjqz_r1-3]
2018-10-11 15:50:42.373[1539240642373] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-3]
2018-10-11 15:50:42.373[1539240642373] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-3] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.373[1539240642373] | DEBUG | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-3] SENT
2018-10-11 15:50:42.373[1539240642373] | TRACE | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.388[1539240642388] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-3]
2018-10-11 15:50:42.388[1539240642388] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-3]
